original,translation
COMMISSION REGULATION (EC) No 589/2008 of 23 June 2008 laying down detailed rules for implementing Council Regulation (EC) No 1234/2007 as regards marketing standards for eggs THE COMMISSION OF THE EUROPEAN COMMUNITIES<replace_me_with_comma> Having regard to the Treaty establishing the European Community<replace_me_with_comma> Having regard to Council Regulation (EC) No 1234/2007 of 22 October 2007 establishing a common organisation of agricultural markets and on specific provisions for certain agricultural products (Single CMO Regulation) (1)<replace_me_with_comma> and in particular Article 121(d) in conjunction with Article 4 thereof<replace_me_with_comma> Whereas: (https://eur-lex.europa.eu/legal-content/en/TXT/?uri=CELEX%3A32008R0589) (https://eur-lex.europa.eu/legal-content/en/TXT/?uri=CELEX%3A32008R0589),Регламент Комісії (ЄС) N 589/2008 'Що встановлює докладні правила щодо імплементації Регламенту Ради (ЄС) N 1234/2007 про стандарти продажу для яєць' від 23 червня 2008 року КОМІСІЯ ЄВРОПЕЙСЬКИХ СПІВТОВАРИСТВ<replace_me_with_comma> Беручи до уваги Договір про заснування Європейського Співтовариства ( 994_017 ). Беручи до уваги Регламент Ради (ЄС) N 1234/2007 від 22 жовтня 2007 року про заснування спільної організації ринків сільськогосподарської продукції та встановлення спеціальних положень<replace_me_with_comma> що стосуються деяких видів сільськогосподарської продукції (Єдиний CMO Регламент - єдиний Регламент про спільну організацію ринку)(1)<replace_me_with_comma> та зокрема його статтю 121 (d) у поєднанні зі статтею 4<replace_me_with_comma> (1) OB L 299<replace_me_with_comma> 16.11.2007<replace_me_with_comma> C. 61). Оскільки: (https://законодавство.com/spivtovaristvo-evropeyske/reglament-komisiji-589-2008-scho-vstanovlyue-2008-20248.html) (https://законодавство.com/spivtovaristvo-evropeyske/reglament-komisiji-589-2008-scho-vstanovlyue-2008-20248.html)
(1) As of 1 July 2008<replace_me_with_comma> Council Regulation (EC) No 1028/2006 of 19 June 2006 on marketing standards for eggs (2) is repealed by Regulation (EC) No 1234/2007. (https://eur-lex.europa.eu/legal-content/en/TXT/?uri=CELEX%3A32008R0589),(1) Починаючи з 1 липня 2008 року Регламент Ради (ЄС) N 1028/2006 від 19 червня 2006 року про стандарти продажу для яєць(2) відмінено Регламентом (ЄС) N 1234/2007. (https://законодавство.com/spivtovaristvo-evropeyske/reglament-komisiji-589-2008-scho-vstanovlyue-2008-20248.html)
(2) Certain provisions and obligations laid down in Regulation (EC) No 1028/2006 have not been incorporated in Regulation (EC) No 1234/2007. (https://eur-lex.europa.eu/legal-content/en/TXT/?uri=CELEX%3A32008R0589),(2) Деякі положення та зобов'язання<replace_me_with_comma> встановлені в Регламенті (ЄС) N 1028/2006<replace_me_with_comma> не були враховані у Регламенті (ЄС) N 1234/2007. (https://законодавство.com/spivtovaristvo-evropeyske/reglament-komisiji-589-2008-scho-vstanovlyue-2008-20248.html)
(3) Certain appropriate provisions and obligations should therefore be adopted within the framework of a regulation laying down detailed rules for implementing Regulation (EC) No 1234/2007 in order to ensure the continuity and smooth running of the common organisation of the market<replace_me_with_comma> and in particular marketing standards. (https://eur-lex.europa.eu/legal-content/en/TXT/?uri=CELEX%3A32008R0589),(3) Таким чином<replace_me_with_comma> певні відповідні положення та зобов'язання повинні бути ухвалені в межах регламенту<replace_me_with_comma> що встановлює детальні правила застосування Регламенту (ЄС) N 1234/2007 для того<replace_me_with_comma> щоб забезпечити безперервність і нормальне функціонування загальної організації ринку<replace_me_with_comma> і зокрема ринкових стандартів. (https://законодавство.com/spivtovaristvo-evropeyske/reglament-komisiji-589-2008-scho-vstanovlyue-2008-20248.html)
(4) Regulation (EC) No 1234/2007 lays down the basic requirements which eggs must satisfy to be marketed in the Community. (https://eur-lex.europa.eu/legal-content/en/TXT/?uri=CELEX%3A32008R0589),(4) Регламент (ЄС) N 1234/2007 встановлює основні вимоги<replace_me_with_comma> яким яйця повинні відповідати<replace_me_with_comma> щоб продаватися у Співтоваристві. (https://законодавство.com/spivtovaristvo-evropeyske/reglament-komisiji-589-2008-scho-vstanovlyue-2008-20248.html)
For the sake of clarity<replace_me_with_comma> new detailed rules for the implementation of those requirements should be laid down. (https://eur-lex.europa.eu/legal-content/en/TXT/?uri=CELEX%3A32008R0589),Для ясності повинні бути визначені нові детальні правила щодо імплементації таких вимог. (https://законодавство.com/spivtovaristvo-evropeyske/reglament-komisiji-589-2008-scho-vstanovlyue-2008-20248.html)
Commission Regulation (EC) No 557/2007 (3)<replace_me_with_comma> which laid down detailed rules for the application of Regulation (EC) No 1028/2006<replace_me_with_comma> should therefore be repealed and replaced by a new Regulation. (https://eur-lex.europa.eu/legal-content/en/TXT/?uri=CELEX%3A32008R0589),Тому Регламент Комісії (ЄС) N 557/2007(3)<replace_me_with_comma> в якому викладені детальні правила застосування Регламенту (ЄС) N 1028/2006<replace_me_with_comma> має бути скасовано і замінено новим Регламентом. (https://законодавство.com/spivtovaristvo-evropeyske/reglament-komisiji-589-2008-scho-vstanovlyue-2008-20248.html)
(5) Regulation (EC) No 852/2004 of the European Parliament and of the Council of 29 April 2004 on the hygiene of foodstuffs (4) and Regulation (EC) No 853/2004 of the European Parliament and of the Council of 29 April 2004 laying down specific hygiene rules for food of animal origin (5) apply to eggs. (https://eur-lex.europa.eu/legal-content/en/TXT/?uri=CELEX%3A32008R0589),(5) Регламент Європейського Парламенту та Ради (ЄС) N 852/2004 від 29 квітня 2004 року про гігієну харчових продуктів(4) і Регламент Європейського Парламенту та Ради (ЄС) N 853/2004 від 29 квітня 2004 року<replace_me_with_comma> що встановлює спеціальні правила гігієни для продуктів харчування тваринного походження(5)<replace_me_with_comma> застосовується до яєць. (https://законодавство.com/spivtovaristvo-evropeyske/reglament-komisiji-589-2008-scho-vstanovlyue-2008-20248.html)
Therefore<replace_me_with_comma> reference should be made to the extent possible to those horizontal Regulations. (https://eur-lex.europa.eu/legal-content/en/TXT/?uri=CELEX%3A32008R0589),Таким чином<replace_me_with_comma> необхідно наскільки можливо посилатися на такі горизонтальні Регламенти. (https://законодавство.com/spivtovaristvo-evropeyske/reglament-komisiji-589-2008-scho-vstanovlyue-2008-20248.html)
(6) The quality characteristics for Class A eggs should be fixed in order to guarantee the high quality of eggs to be delivered directly to the final consumer and to set criteria that can be checked by inspection services. (https://eur-lex.europa.eu/legal-content/en/TXT/?uri=CELEX%3A32008R0589),(6) Якісні характеристики для яєць класу А повинні бути закріплені<replace_me_with_comma> щоб гарантувати високу якість яєць<replace_me_with_comma> які доставляються безпосередньо до кінцевого споживача<replace_me_with_comma> і встановити критерії<replace_me_with_comma> які можуть бути перевірені службами контролю. (https://законодавство.com/spivtovaristvo-evropeyske/reglament-komisiji-589-2008-scho-vstanovlyue-2008-20248.html)
