ORIGINAL,TRANSLATION
"REGLAMENTO (CE) N o 589/2008 DE LA COMISIÓN de 23 de junio de 2008 por el que se establecen las disposiciones de aplicación del Reglamento (CE) no 1234/2007 del Consejo en lo que atañe a las normas de comercialización de los huevos LA COMISIÓN DE LAS COMUNIDADES EUROPEAS, Visto el Tratado constitutivo de la Comunidad Europea, Visto el Reglamento (CE) no 1234/2007 del Consejo, de 22 de octubre de 2007, por el que se crea una organización común de mercados agrícolas y se establecen disposiciones específicas para determinados productos agrícolas (Reglamento único para las OCM) (1), y, en particular, su artículo 12, letra d), leído en relación con su artículo 4. Considerando lo siguiente: (https://www.boe.es/buscar/doc.php?id=DOUE-L-2008-81133) (https://www.boe.es/buscar/doc.php?id=DOUE-L-2008-81133)","Регламент Комісії (ЄС) N 589/2008 'Що встановлює докладні правила щодо імплементації Регламенту Ради (ЄС) N 1234/2007 про стандарти продажу для яєць' від 23 червня 2008 року КОМІСІЯ ЄВРОПЕЙСЬКИХ СПІВТОВАРИСТВ, Беручи до уваги Договір про заснування Європейського Співтовариства ( 994_017 ). Беручи до уваги Регламент Ради (ЄС) N 1234/2007 від 22 жовтня 2007 року про заснування спільної організації ринків сільськогосподарської продукції та встановлення спеціальних положень, що стосуються деяких видів сільськогосподарської продукції (Єдиний CMO Регламент - єдиний Регламент про спільну організацію ринку)(1), та зокрема його статтю 121 (d) у поєднанні зі статтею 4, (1) OB L 299, 16.11.2007, C. 61). Оскільки: (https://законодавство.com/spivtovaristvo-evropeyske/reglament-komisiji-589-2008-scho-vstanovlyue-2008-20248.html) (https://законодавство.com/spivtovaristvo-evropeyske/reglament-komisiji-589-2008-scho-vstanovlyue-2008-20248.html)"
"(1) A partir del 1 de julio de 2008, el Reglamento (CE) no 1028/2006 del Consejo, de 19 de junio de 2006, sobre las normas de comercialización de los huevos (2), será derogado por el Reglamento (CE) no 1234/2007. (https://www.boe.es/buscar/doc.php?id=DOUE-L-2008-81133)",(1) Починаючи з 1 липня 2008 року Регламент Ради (ЄС) N 1028/2006 від 19 червня 2006 року про стандарти продажу для яєць(2) відмінено Регламентом (ЄС) N 1234/2007. (https://законодавство.com/spivtovaristvo-evropeyske/reglament-komisiji-589-2008-scho-vstanovlyue-2008-20248.html)
(2) Algunas disposiciones y obligaciones previstas en el Reglamento (CE) no 1028/2006 no han sido incluidas en el Reglamento (CE) no 1234/2007. (https://www.boe.es/buscar/doc.php?id=DOUE-L-2008-81133),"(2) Деякі положення та зобов'язання, встановлені в Регламенті (ЄС) N 1028/2006, не були враховані у Регламенті (ЄС) N 1234/2007. (https://законодавство.com/spivtovaristvo-evropeyske/reglament-komisiji-589-2008-scho-vstanovlyue-2008-20248.html)"
"(3) Por consiguiente, con objeto de permitir la continuidad y el buen funcionamiento de la organización común del mercado y, en particular, las normas de comercialización, deben adoptarse algunas disposiciones y obligaciones apropiadas en el marco de un Reglamento que establezca normas de desarrollo del Reglamento (CE) no 1234/2007. (https://www.boe.es/buscar/doc.php?id=DOUE-L-2008-81133)","(3) Таким чином, певні відповідні положення та зобов'язання повинні бути ухвалені в межах регламенту, що встановлює детальні правила застосування Регламенту (ЄС) N 1234/2007 для того, щоб забезпечити безперервність і нормальне функціонування загальної організації ринку, і зокрема ринкових стандартів. (https://законодавство.com/spivtovaristvo-evropeyske/reglament-komisiji-589-2008-scho-vstanovlyue-2008-20248.html)"
(4) El Reglamento (CE) no 1234/2007 establece los requisitos básicos que deben cumplir los huevos para su comercialización en la Comunidad. (https://www.boe.es/buscar/doc.php?id=DOUE-L-2008-81133),"(4) Регламент (ЄС) N 1234/2007 встановлює основні вимоги, яким яйця повинні відповідати, щоб продаватися у Співтоваристві. (https://законодавство.com/spivtovaristvo-evropeyske/reglament-komisiji-589-2008-scho-vstanovlyue-2008-20248.html)"
"Por motivos de claridad, es preciso establecer nuevas disposiciones de aplicación de esas normas. (https://www.boe.es/buscar/doc.php?id=DOUE-L-2008-81133)",Для ясності повинні бути визначені нові детальні правила щодо імплементації таких вимог. (https://законодавство.com/spivtovaristvo-evropeyske/reglament-komisiji-589-2008-scho-vstanovlyue-2008-20248.html)
"Procede, por lo tanto, derogar el Reglamento (CE) no 557/2007 de la Comisión (3), que establece las disposiciones de aplicación del Reglamento (CE) no 1028/2006, y sustituirlo por un nuevo Reglamento. (https://www.boe.es/buscar/doc.php?id=DOUE-L-2008-81133)","Тому Регламент Комісії (ЄС) N 557/2007(3), в якому викладені детальні правила застосування Регламенту (ЄС) N 1028/2006, має бути скасовано і замінено новим Регламентом. (https://законодавство.com/spivtovaristvo-evropeyske/reglament-komisiji-589-2008-scho-vstanovlyue-2008-20248.html)"
"(5) Es necesario que las disposiciones del Reglamento (CE) no 852/2004 del Parlamento Europeo y del Consejo, de 29 de abril de 2004, relativo a la higiene de los productos alimenticios (4), y del Reglamento (CE) no 853/2004 del Parlamento Europeo y del Consejo, de 29 de abril de 2004, por el que se establecen normas específicas de higiene de los alimentos de origen animal (5), se apliquen a los huevos. (https://www.boe.es/buscar/doc.php?id=DOUE-L-2008-81133)","(5) Регламент Європейського Парламенту та Ради (ЄС) N 852/2004 від 29 квітня 2004 року про гігієну харчових продуктів(4) і Регламент Європейського Парламенту та Ради (ЄС) N 853/2004 від 29 квітня 2004 року, що встановлює спеціальні правила гігієни для продуктів харчування тваринного походження(5), застосовується до яєць. (https://законодавство.com/spivtovaristvo-evropeyske/reglament-komisiji-589-2008-scho-vstanovlyue-2008-20248.html)"
"Es preciso, por lo tanto, remitirse en la mayor medida posible a esos Reglamentos horizontales. (https://www.boe.es/buscar/doc.php?id=DOUE-L-2008-81133)","Таким чином, необхідно наскільки можливо посилатися на такі горизонтальні Регламенти. (https://законодавство.com/spivtovaristvo-evropeyske/reglament-komisiji-589-2008-scho-vstanovlyue-2008-20248.html)"
(6) Es necesario determinar las características cualitativas de los huevos de la categoría A con el fin de garantizar que los huevos que se entreguen directamente al consumidor final sean de elevada calidad y fijar una serie de criterios que puedan ser controlados por los servicios de inspección. (https://www.boe.es/buscar/doc.php?id=DOUE-L-2008-81133),"(6) Якісні характеристики для яєць класу А повинні бути закріплені, щоб гарантувати високу якість яєць, які доставляються безпосередньо до кінцевого споживача, і встановити критерії, які можуть бути перевірені службами контролю. (https://законодавство.com/spivtovaristvo-evropeyske/reglament-komisiji-589-2008-scho-vstanovlyue-2008-20248.html)"
"Tales características cualitativas deben basarse en la norma no 42 de la Comisión Económica para Europa de las Naciones Unidas (CEPE/ONU), relativa a la comercialización y los controles de la calidad comercial de los huevos con cáscara que se introduzcan en el comercio internacional entre los países miembros de la CEPE/ONU y que se destinen a esos países. (https://www.boe.es/buscar/doc.php?id=DOUE-L-2008-81133)","Такі якісні характеристики повинні бути засновані на Стандарті N 42 Економічної комісії ООН для Європи (ЄЕК ООН) про збут і контроль товарної якості яєць у шкаралупі, що надходять в міжнародну торгівлю між країнами-членами ЄЕК ООН і які призначені для цих країн. (https://законодавство.com/spivtovaristvo-evropeyske/reglament-komisiji-589-2008-scho-vstanovlyue-2008-20248.html)"
"(7) La práctica de dejar huevos fríos a temperatura ambiente puede resultar en un fenómeno de condensación que propicie la proliferación de bacterias en la cáscara y, probablemente, su penetración en el huevo. (https://www.boe.es/buscar/doc.php?id=DOUE-L-2008-81133)","(7) Холодні яйця, залишені при кімнатній температурі, можуть вкритися конденсатом, що сприяє зростанню бактерій на шкаралупі і, ймовірно, їх проникненню в яйце. (https://законодавство.com/spivtovaristvo-evropeyske/reglament-komisiji-589-2008-scho-vstanovlyue-2008-20248.html)"
"Por consiguiente, los huevos deben almacenarse y transportarse a una temperatura de preferencia constante y, por regla general, no refrigerarse antes de su venta al consumidor final. (https://www.boe.es/buscar/doc.php?id=DOUE-L-2008-81133)","Таким чином, бажано, щоб яйця зберігалися і транспортувалися при сталій температурі і, як правило, не охолоджувались до продажу кінцевому споживачеві. (https://законодавство.com/spivtovaristvo-evropeyske/reglament-komisiji-589-2008-scho-vstanovlyue-2008-20248.html)"
"(8) Por lo general, los huevos no deben lavarse ni limpiarse, ya que tales prácticas pueden dañar la cáscara de los huevos, la cual constituye una barrera eficaz contra la entrada de bacterias y presenta una amplia gama de propiedades antimicrobianas para los huevos. (https://www.boe.es/buscar/doc.php?id=DOUE-L-2008-81133)","(8) Загалом, яйця не повинні бути вимиті або очищені, оскільки такі практики можуть призвести до пошкодження яєчної шкаралупи, яка є ефективним бар'єром проти проникнення бактерій і становить великий набір антимікробних властивостей. (https://законодавство.com/spivtovaristvo-evropeyske/reglament-komisiji-589-2008-scho-vstanovlyue-2008-20248.html)"
"Dicho esto, determinadas prácticas, como el tratamiento de los huevos con rayos ultravioletas, no deben considerarse procesos de limpieza. (https://www.boe.es/buscar/doc.php?id=DOUE-L-2008-81133)","Однак, деякі практики, такі, як обробка яєць ультрафіолетовими променями, не слід тлумачити як способи очищення. (https://законодавство.com/spivtovaristvo-evropeyske/reglament-komisiji-589-2008-scho-vstanovlyue-2008-20248.html)"
"Además, los huevos de la categoría A no deben lavarse debido a los posibles daños que pueden ocasionarse a las barreras físicas, como la cutícula, durante el proceso de lavado o después del mismo. (https://www.boe.es/buscar/doc.php?id=DOUE-L-2008-81133)","Крім того, яйця класу А не варто мити через можливість нанесення шкоди фізичним бар'єрам, таким, як кутикули, яка може виникнути під час або після миття. (https://законодавство.com/spivtovaristvo-evropeyske/reglament-komisiji-589-2008-scho-vstanovlyue-2008-20248.html)"
"Esos daños pueden favorecer la contaminación con bacterias y la pérdida de humedad a través de la cáscara, con el consiguiente aumento de los riesgos para los consumidores, especialmente si las condiciones subsiguientes de secado y almacenamiento no son óptimas. (https://www.boe.es/buscar/doc.php?id=DOUE-L-2008-81133)","Такі пошкодження можуть спричиняти бактеріальне забруднення і втрату вологи через шкаралупу і тим самим збільшувати ризик для споживачів, зокрема, якщо наступна сушка і умови зберігання не є оптимальними. (https://законодавство.com/spivtovaristvo-evropeyske/reglament-komisiji-589-2008-scho-vstanovlyue-2008-20248.html)"
